"ID","Type","Name","Documentation"
"1e28c525","ArchimateModel","(новая модель)",""
"482fcf26","BusinessActor","Диспетчер",""
"0cbb332b","BusinessActor","Потребитель",""
"d0edf56a","BusinessCollaboration","Пользование",""
"7a59627f","BusinessFunction","Авторизация в системе",""
"7efaf589","BusinessFunction","Добаление нового пользователя",""
"24e8316e","BusinessFunction","Заявка на добавление",""
"fbd13348","BusinessFunction","Контроль расходов ",""
"d5b6e775","BusinessFunction","Подача жалобы",""
"51e79e05","BusinessFunction","Подтверждение регистраци прибора",""
"fca8a0bd","BusinessFunction","Разрешение жалоб",""
"3d3c36d2","BusinessFunction","Регистрация прибора",""
"62af3f20","BusinessFunction","Управление показаниями",""
"3970602d","BusinessObject","Электроэнергетическая инфраструктура",""
"afcb2821","BusinessRole","Управление",""
"6c25961f","Meaning","создание средств сервисно-ориентированной энергетики",""
"c5af571f","Representation","Веб-приложение",""
"c34bd4e2","ApplicationComponent","ИС",""
"7ec5e5bb","ApplicationFunction","Обработка информации",""
"021dc12d","DataObject","Архитектурное описание приложение",""
"048640c5","Artifact","Запросы потребителя и диспетчера",""
"934c06fd","Artifact","Ответы на запросы",""
"886b4436","Device","Персональный компьютер",""
"5820747d","InfrastructureInterface","Браузер",""
"3522c69a","Node","Оборудование",""
"4144315e","Node","Сервер",""
"0e9f77a3","SystemSoftware","Операционная система",""